Halal Food Sydney (HFS) - Restaurants,,,,,,,
,,,,,,,
Please list any Halal restaurants/caterers (with handslaughtered meat supply) below. ,,,,,,,
"Currently, the only hand-slaughtered meat suppliers in Sydney are Giglios, Fresh Poultry, and Mohammed Amin (MAM 100% Halaal).",,,,,,,
"Please list any potential issues (eg mixed meat supply, cross-contamination risk with non HS meat, serves alcohol, halal on request, etc), as well as any relevant documentation, in the 'Notes & other enquiry details' column.",,,,,,,
,,,,,,,
Restaurant Name,Address,Status,Supplier,Last Contacted,Notes & other enquiry details,Coordinates,State
"1919 兰州牛肉面
(1919 Lanzhou Chester Hill)","20/1 Leicester St, Chester Hill NSW 2162",Confirmed - Halal,Giglios,15/8/2023,"Giglios Chicken, Nolan for meat, no wine used as part of the ingredients.","(-33.88221085277635, 151.00199083799734)",NSW
A1 Pizza,"45 Rawson St, Auburn NSW 2144
02 8386 8646",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.8498385, 151.0349911)",NSW
ABC Biryani and Karahi,"45 Rawson St, Auburn NSW 2144",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.8498385, 151.0349911)",NSW
Afghan Royal Restaurant,"Dumaresq St, Campbelltown NSW 2560",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-34.0695243, 150.814342)",NSW
Al Beik Crispy,"217 Miller Rd, Bass Hill NSW 2197",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.8890911, 150.9924136)",NSW
Al Manara Restaurant,"143 Haldon St, Lakemba NSW 2195",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.9220081, 151.0787404)",NSW
Al's Fried Chickens,"239 Wollongong Rd, Arncliffe NSW 2205",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.9417976, 151.131604)",NSW
Alwaha Eatery,"170 Clyde St, South Granville NSW 2142",Potential Issues,,,No longer stock chicken from Fresh Poultry,"(-33.8473194, 151.012446)",NSW
Arabian Lebanese Restaurant,"82 Waldron Rd, Chester Hill NSW 2162",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.8833203, 151.0041795)",NSW
Biryani Corner,"39 Rochester St, Homebush NSW 2140",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.8675596, 151.0842787)",NSW
Blaze Charcoal Chicken,"3-11 Chester Hill Rd, Chester Hill NSW 2162",Potential Issues,Fresh Poultry,,"On Fresh Poultry App - 7/5/2023
Chicken supply is not exclusively FP.","(-33.8842433, 151.0008424)",NSW
Blazin Grillz,"188 Waldron Rd, Chester Hill NSW 2162",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.8827907, 150.9993605)",NSW
Blazin Grillz,"230 Macquarie St, Liverpool NSW 2170",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.9228199, 150.923997)",NSW
Bosphorus Turkish Restaurant,"321/5 Footbridge Bvd, Wentworth Point NSW 2127",Verified - Halal,Fresh Poultry,,"On Fresh Poultry App - 7/5/2023   
Chicken Kebab meat also hand-slaughtered as of Feb 2023","(-33.8254899, 151.0791887)",NSW
Broaster,"74 Hoxton Park Rd, Liverpool NSW 2170",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.9286512, 150.9075099)",NSW
Broaster,"1/2 Auburn Road, Auburn NSW 2144",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.850112, 151.0333216)",NSW
Broaster,"4/8b Sunnyholt Rd, Blacktown NSW 2148",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.7687656, 150.9120465)",NSW
Broaster,"223 Queen St, Campbelltown NSW 2560",Potential Issues,,11/4/2024,No longer Fresh Poultry,"(-34.0676179, 150.8132366)",NSW
Broaster,"3/104 Railway Parade, Glenfield NSW 2167",Potential Issues,Fresh Poultry,,On Fresh Poultry App - 7/5/2023. Chicken supplied by YCC,"(-33.9724109, 150.8938574)",NSW
Broaster,"Shop 5/130A Banksia Rd, Greenacre NSW 2190",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.9086075, 151.0565388)",NSW
Broaster,"421 High St, Penrith NSW 2750",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.7536042, 150.6980248)",NSW
Broaster,"Shop 201/561-583 Polding St, Wetherill Park NSW 2164",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.8593157, 150.8978985)",NSW
Broaster,"Unit 5A/516-524 Great Western Hwy, St Marys NSW 2760",Potential Issues,Fresh Poultry,,"On Fresh Poultry App - 7/5/2023.
Chicken supply may not exclusively be FP. Confirmed by Ml. E. ","(-33.7701066, 150.7657877)",NSW
Broaster,"753 Hume Hwy, Bass Hill NSW 2197",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.899428, 150.9934708)",NSW
Broaster,"8/36 Station St, Fairfield NSW 2165",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.8676079, 150.9527183)",NSW
Broaster,"1A Padstow Parade, Padstow NSW 2211",Potential Issues,Fresh Poultry,,Photograph evidence of invoice for YCC chickens 31/07/2023,"(-33.9524064, 151.0321029)",NSW
Broaster,"128 Military Road, Guildford NSW 2161",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.8541359, 150.9840813)",NSW
Broaster,"56B Rawson St, Epping NSW 2121",Verified - Halal,Fresh Poultry,,Not on app but owner confirmed over WhatsApp that supply is Fresh Poultry,"(-33.7725838, 151.080923)",NSW
Broaster,"20 Zoe Pl, Mount Druitt NSW 2770",Verified - Halal,Fresh Poultry,11/4/2024,Chicken plus nuggets all from FP,"(-33.7651298, 150.827286)",NSW
Broaster,"2 Gribble St, Gungahlin ACT 2912",Potential Issues,,15/8/2023,"Chicken supplier (FP via Continental Butcher Gungahlin) is doubtful. Steggles nuggets and popcorn chicken, cross contamination with chips.","(-35.18140451976334, 149.13077408121345)",ACT
Broaster Chicken,"212 South Terrace, Bankstown NSW 2200",Pending Review,,,No longer on Fresh Poultry App,"(-33.9185637, 151.0397668)",NSW
Brunch Cafe & Grill,"Shop G05/101 Clapham Rd, Sefton NSW 2162",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.8839924, 151.0120355)",NSW
Burger District,"380 Burwood Rd, Belmore NSW 2192",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.9183753, 151.0885222)",NSW
Burgers & Co,"23 Roselands Ave, Roselands NSW 2196",Partially Halal,Fresh Poultry,,"On Fresh Poultry App - 7/5/2023
Mixed - some items are FP, however some items (eg Chicken Schnitzel) are machine slaughtered. Adherence to cross-contamination standards unknown.","(-33.935425, 151.0706992)",NSW
Burgers On Broadway,"8 Betty Cuthbert Ave, Ermington NSW 2115",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.814677, 151.055712)",NSW
Burgers On Broadway,"219-231 Kingsgrove Rd, Kingsgrove NSW 2208",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.9409131, 151.1008066)",NSW
Burgers On Broadway,"110A Boundary Rd, Mortdale NSW 2210",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.963785, 151.0683677)",NSW
Burgers On Broadway,"99A Smith St, Summer Hill NSW 2130",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.8917966, 151.1386386)",NSW
Burgers On Broadway,"Shop/8 Broadway, Glebe NSW 2037",Pending Review,Fresh Poultry,,,"(-33.8842162, 151.1924187)",NSW
Burgers On Broadway,"50 Amy St, Regents Park NSW 2143",Pending Review,Fresh Poultry,,,"(-33.884063, 151.0268242)",NSW
Burgerville,"227 Merrylands Rd, Merrylands NSW 2160",Pending Review,,15/8/2023,"Certificates displayed at front. FP Chicken, Cowra Red Meat.","(-33.835962763144174, 150.98869881348844)",NSW
Cabra Food & Burgers,"21 Bultje St, Dubbo NSW 2830",Confirmed - Halal,,15/8/2023,,"(-32.25141683366302, 148.60124325059414)",NSW
Cafe Roman,"262 Belmore Rd, Riverwood NSW 2210",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.9497848, 151.0528441)",NSW
Cedar'z Charcoal Chicken,"108a Macquarie Rd, Ingleburn NSW 2565",Pending Review,,,No longer on Fresh Poultry App,"(-33.99745, 150.8655408)",NSW
Chicken Licken,"1/60A The Boulevarde, Lakemba NSW 2195",Verified - Halal,"Fresh Poultry, Giglios",9/5/2023,Confirmed by Ml. E.,"(-33.9202461, 151.0760603)",NSW
Chubby Buns,"433 Great Western Hwy, Greystanes NSW 2145",Verified - Halal,The Butcher on Wellington,,All branches supplied by The Butcher on Wellington.,"(-33.8140811, 150.9596898)",NSW
Chubby Buns,"78 Parramatta Rd, Lidcombe NSW 2141",Verified - Halal,The Butcher on Wellington,,All branches supplied by The Butcher on Wellington.,"(-33.8503952, 151.0522777)",NSW
Chubby Buns,"748 Victoria Rd, Ryde NSW 2112",Verified - Halal,The Butcher on Wellington,,All branches supplied by The Butcher on Wellington.,"(-33.8161653, 151.1037196)",NSW
Chubby Buns,"6/148 Sunnyholt Rd, Blacktown NSW 2148",Verified - Halal,The Butcher on Wellington,,All branches supplied by The Butcher on Wellington.,"(-33.752892, 150.914809)",NSW
Chubby Buns,"296 Hume Hwy, Lansvale NSW 2166",Verified - Halal,The Butcher on Wellington,,All branches supplied by The Butcher on Wellington.,"(-33.8990771, 150.9487796)",NSW
Chubby Buns,"1600 Canterbury Rd, Punchbowl NSW 2196",Verified - Halal,The Butcher on Wellington,,All branches supplied by The Butcher on Wellington.,"(-33.9332548, 151.0410404)",NSW
Chubby Buns,"427 Princes Hwy, Rockdale NSW 2216",Verified - Halal,The Butcher on Wellington,,All branches supplied by The Butcher on Wellington.,"(-33.9498377, 151.1387039)",NSW
Chubby Buns,"490 Cowpasture Rd, Len Waters Estate NSW 2171",Verified - Halal,The Butcher on Wellington,,All branches supplied by The Butcher on Wellington.,"(-33.9156873, 150.8548617)",NSW
Ciz Biz Mangal,"6 Harrow Rd, Auburn NSW 2144",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.8523244, 151.0317324)",NSW
Classic Burger,"347 Macquarie St, Liverpool NSW 2170",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.9258405, 150.9214394)",NSW
Classic Burger,"564 Hume Hwy, Yagoona NSW 2199",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.90698080000001, 151.0220176)",NSW
Coffee Cartel,"2c/2 Avenue of Europe, Newington NSW 2127",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.833733, 151.0566424)",NSW
Cook & Co,"Shop 3/66 Auburn Rd, Auburn NSW 2144",Confirmed - Halal,Fresh Poultry,15/8/2023,,"(-33.8534495419052, 151.03278921654473)",NSW
Country Pizza N BBQ,"Shop 3/37-45 Rooty Hill Rd N, Rooty Hill NSW 2766",Pending Review,Fresh Poultry,15/8/2023,Reported by group member of HFS Chat,"(-33.77038599054861, 150.84276099903727)",NSW
Darband Persia Restaurant,"Shop 10/45 Rawson St, Auburn NSW 2144",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.8498246, 151.0352148)",NSW
Deccan Darbar,"3B Rochester St, Homebush NSW 2140",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.8666669, 151.0846778)",NSW
Deccan Flavours,"12 Civic Rd, Auburn NSW 2144",Pending Review,,,,"(-33.8513088, 151.0333141)",NSW
Desi Fusion,"10 Newton St S, Auburn NSW 2144",Verified - Halal,Fresh Poultry,9/5/2023,Confirmed by Raza of HFS Chat (owner of Apni Dukaan butchery) - restaurant buys HS exclusively from Apni Dukaan,"(-33.8380248, 151.0318982)",NSW
Desi Fusion,"1223 Canterbury Rd, Punchbowl NSW 2196",Verified - Halal,Fresh Poultry,9/5/2023,Confirmed by Raza of HFS Chat (owner of Apni Dukaan butchery) - restaurant buys HS exclusively from Apni Dukaan,"(-33.9310782, 151.0633067)",NSW
Do Darya Grounds,"309 Forest Rd, Bexley NSW 2207",Pending Review,,15/8/2023,"Chicken FP, meat not checked.","(-33.94510326933865, 151.12811273129913)",NSW
Dougies Grill,"24 Restwell St, Bankstown NSW 2200",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.9194432, 151.0353046)",NSW
Dougies Grill,"107 Auburn Rd, Auburn NSW 2144",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.8537558, 151.0319665)",NSW
Dougies Grill,"1/241A Forest Rd, Hurstville NSW 2220",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.9668842, 151.1023744)",NSW
Eastbank Cafe,"61-69 Macquarie St, Sydney NSW 2000",Partially Halal,Fresh Poultry,,"On Fresh Poultry App - 7/5/2023.
Only the chicken is halal - confirmed by A.R via email. Menu says food can be cooked separately on request.","(-33.860829, 151.212821)",NSW
Egg Hut,"998 Punchbowl Rd, Punchbowl NSW 2195",Verified - Halal,Butcher on Wellington,15/8/2023,Confirmed via text to BOW (supplies schnitzel only). Unsure of other suppliers but Instagram page mentions that restaurant is fully HS (FP/Giglios),"(-33.932109112435946, 151.04552489033998)",NSW
Eighteen22 Casual Dining Punchbowl,"1 Broadway, Punchbowl NSW 2196",Pending Review,,,No longer on Fresh Poultry App,"(-33.9261278, 151.0582841)",NSW
El Farouge Charcoal Chicken,"332 Guildford Rd, Guildford NSW 2161",Potential Issues,Cordina,17/2/2024,18 Feb 2024 - shopkeeper confirmed steggles. member of HFS chat claimed Cordina upon enquiry on 17/2/2024. (Previously on Fresh Poultry App - 7/5/2023),"(-33.8542243, 150.9860592)",NSW
El Khayal Lebanese Restaurant,"134A Waterloo Rd, Greenacre NSW 2190",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.9083969, 151.0567107)",NSW
El-Rawda Bakery and Cafe,"291 Clyde St, South Granville NSW 2142",Confirmed - Halal,Fresh Poultry,15/8/2023,"Check required, but has been well known as HS business for a long time.","(-33.85781979221511, 151.01095492783983)",NSW
Extra Crispy,"451 N Liverpool Rd, Bonnyrigg Heights NSW 2177",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.89427, 150.8579828)",NSW
Extra Crispy,"228A Merrylands Rd, Merrylands NSW 2160",Partially Halal,Fresh Poultry,15/8/2023,On Fresh Poultry App - 7/5/2023. Nuggets reported to be Steggles.,"(-33.836521, 150.9882041)",NSW
Extra Crispy,"3/749 Smithfield Rd, Edensor Park NSW 2176",Partially Halal,Fresh Poultry,15/8/2023,On Fresh Poultry App - 7/5/2023. Nuggets reported to be Steggles.,"(-33.888081, 150.882435)",NSW
Extra Crispy,"2/173 Waterloo Rd, Greenacre NSW 2190, Australia",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.9064934, 151.0576853)",NSW
Extra Crispy,"Shop 3/380 Forest Rd, Hurstville NSW 2220, Australia",Potential Issues,,,Supply is machine slaughtered. Confirmed by Ml. E.,"(-33.9650444, 151.1005978)",NSW
Extra Crispy,"153 Haldon St, Lakemba NSW 2195, Australia",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.922264, 151.078906)",NSW
Fig and Olive Mediterranean Cafe,"98 Station Rd, Auburn NSW 2144, Australia",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.8436843, 151.0391073)",NSW
Fire And Food,"Level 33/264 George St, Sydney NSW 2000, Australia",Potential Issues,Fresh Poultry,,"On Fresh Poultry App - 7/5/2023. 
Menu contains pork items, uncertain of suppliers for other meats or if cross-contamination standards are enforced.","(-33.864967, 151.2077854)",NSW
Fire And Food,"Level 4/580 George St, Sydney NSW 2000",Potential Issues,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.8748212, 151.2071243)",NSW
Firefly Burger,"1 Restwell St, Bankstown NSW 2200, Australia",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.918536, 151.034996)",NSW
Flames Charcoal Chicken,"6b/55 Simmat Ave, Condell Park NSW 2200, Australia",Pending Review,,,No longer on Fresh Poultry App,"(-33.9227967, 151.0119521)",NSW
Flames Master,"273 Newbridge Rd, Chipping Norton NSW 2170, Australia",Verified - Halal,,15/8/2023,No longer on Fresh Poultry App. Owner seen buying chicken from FP retailer. Confirmed via FP call.,"(-33.9287297, 150.9486205)",NSW
Foodies Charcoal Chicken,"131 Popondetta Rd, Emerton NSW 2770, Australia",Potential Issues,Steggles,,"New non-muslim owners, source confirmed - 10/7/2023","(-33.7449307, 150.8104644)",NSW
Fortune Village Chinese Restaurant,"209 Clarence St, Sydney NSW 2000, Australia",Potential Issues,Fresh Poultry,,"On Fresh Poultry App - 7/5/2023. 
Menu contains pork items, uncertain of suppliers for other meats or if cross-contamination standards are enforced.","(-33.870002, 151.2050791)",NSW
Fresh Chicken Spot,"92 Parramatta Rd, Lidcombe NSW 2141",Pending Review,,15/8/2023,,"(-33.84912971012058, 151.0483542119822)",NSW
Fried Brothers,"7 Luxford Rd, Mount Druitt NSW 2770",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.7647391, 150.8269992)",NSW
Fuadijan,"129 Parramatta Rd, Auburn NSW 2144",Verified - Halal,Apni Dukaan Australia,9/5/2023,Confirmed by Raza of HFS Chat (owner of Apni Dukaan butchery) - restaurant buys HS exclusively from Apni Dukaan,"(-33.8432826, 151.040084)",NSW
Galinha Burger Narellan,"4/326 Camden Valley Way, Narellan NSW 2567",Confirmed - Halal,Fresh Poultry,,Confirmed by member of HFS - Brothers - contact with restaurant owner,"(-34.0414727, 150.7377765)",NSW
